Date,Time,MidPrice
2018-06-01,13:00:25,3.7745
2018-06-01,13:00:28,3.7745
2018-06-01,13:00:31,3.7745
2018-06-01,13:00:34,3.7745
2018-06-01,13:00:37,3.7745
2018-06-01,13:00:40,3.7745
2018-06-01,13:00:43,3.7745
2018-06-01,13:00:46,3.7745
2018-06-01,13:00:49,3.7745
2018-06-01,13:00:52,3.7745
2018-06-01,13:00:55,3.7745
2018-06-01,13:00:58,3.7755
2018-06-01,13:01:01,3.7755
2018-06-01,13:01:04,3.7755
2018-06-01,13:01:07,3.7755
2018-06-01,13:01:10,3.7755
2018-06-01,13:01:13,3.7755
2018-06-01,13:01:16,3.7755
2018-06-01,13:01:19,3.7755
2018-06-01,13:01:22,3.7765
