Date,Time,MidPrice,LastPrice,Volume,BidPrice1,BidVolume1,AskPrice1,AskVolume1
2023/6/1,9:30:01,3.7865,3.786,1081100,3.786,21500,3.787,12900
2023/6/1,9:30:04,3.7835,3.784,1425900,3.783,44200,3.784,119200
2023/6/1,9:30:07,3.7835,3.784,1485500,3.783,42700,3.784,61100
2023/6/1,9:30:10,3.7845,3.785,1551600,3.784,145900,3.785,16900
2023/6/1,9:30:13,3.7835,3.784,2063300,3.783,347700,3.784,200100
2023/6/1,9:30:16,3.7835,3.784,2408600,3.783,352600,3.784,70700
2023/6/1,9:30:19,3.786,3.785,2494800,3.784,415000,3.788,5800
2023/6/1,9:30:22,3.786,3.785,2494800,3.784,133200,3.788,85900
2023/6/1,9:30:25,3.786,3.784,2611500,3.784,16500,3.788,85900
2023/6/1,9:30:28,3.7855,3.784,2619200,3.784,8800,3.787,80100
2023/6/1,9:30:31,3.786,3.784,2619200,3.784,31800,3.788,85900
2023/6/1,9:30:34,3.787,3.784,2619200,3.786,2000,3.788,85900
2023/6/1,9:30:37,3.7875,3.787,2619600,3.787,600,3.788,5800
2023/6/1,9:30:40,3.7855,3.786,2622000,3.785,31700,3.786,9300
2023/6/1,9:30:43,3.7855,3.786,2622100,3.785,31700,3.786,9200
2023/6/1,9:30:46,3.7845,3.785,2660100,3.784,351800,3.785,47000
2023/6/1,9:30:49,3.7845,3.785,2662100,3.784,367300,3.785,76100
2023/6/1,9:30:52,3.7835,3.784,3039500,3.783,372000,3.784,31400
2023/6/1,9:30:55,3.784,3.785,3043500,3.783,371600,3.785,72100
2023/6/1,9:30:58,3.7835,3.784,3061200,3.783,371600,3.784,575000
2023/6/1,9:31:01,3.7835,3.784,3385400,3.783,68400,3.784,254100
2023/6/1,9:31:04,3.7845,3.785,3640300,3.784,349900,3.785,38200
2023/6/1,9:31:07,3.7845,3.785,3689000,3.784,310200,3.785,29300
2023/6/1,9:31:10,3.7845,3.785,3690400,3.784,310200,3.785,27900
2023/6/1,9:31:13,3.7845,3.784,3968800,3.784,36900,3.785,22800
2023/6/1,9:31:16,3.7855,3.785,3991600,3.785,13200,3.786,26100
2023/6/1,9:31:19,3.7855,3.785,4008800,3.785,6000,3.786,18600
2023/6/1,9:31:22,3.785,3.784,4028300,3.784,382900,3.786,18600
2023/6/1,9:31:25,3.7855,3.786,4033800,3.785,302800,3.786,13600
2023/6/1,9:31:28,3.7845,3.785,4048000,3.784,383900,3.785,239200
2023/6/1,9:31:31,3.7855,3.785,4294000,3.785,500,3.786,13600
2023/6/1,9:31:34,3.7845,3.785,4295600,3.784,385100,3.785,9500
2023/6/1,9:31:37,3.7865,3.787,4324300,3.786,33700,3.787,3300
2023/6/1,9:31:40,3.7865,3.786,4324400,3.786,33600,3.787,3300
2023/6/1,9:31:43,3.787,3.788,4335600,3.786,33600,3.788,101400
2023/6/1,9:31:46,3.787,3.786,4341800,3.786,27400,3.788,101400
2023/6/1,9:31:49,3.7875,3.786,4342200,3.787,300,3.788,101400
2023/6/1,9:31:52,3.7875,3.786,4342200,3.787,400,3.788,101400
2023/6/1,9:31:55,3.7875,3.788,4344200,3.787,400,3.788,99400
2023/6/1,9:31:58,3.7885,3.788,4443600,3.788,157000,3.789,11700
2023/6/1,9:32:01,3.7885,3.789,4473600,3.788,137100,3.789,1600
2023/6/1,9:32:04,3.7885,3.789,4473600,3.788,147100,3.789,1600
2023/6/1,9:32:07,3.7875,3.788,4624700,3.787,1400,3.788,47600
2023/6/1,9:32:10,3.7875,3.788,4626700,3.787,1400,3.788,11600
2023/6/1,9:32:13,3.7875,3.788,4626700,3.787,1100,3.788,71600
2023/6/1,9:32:16,3.787,3.788,4638200,3.786,24500,3.788,58500
2023/6/1,9:32:19,3.7865,3.786,4639000,3.786,23700,3.787,70000
2023/6/1,9:32:22,3.7865,3.787,4649000,3.786,23700,3.787,60000
2023/6/1,9:32:25,3.7865,3.787,4649000,3.786,23700,3.787,60000
2023/6/1,9:32:28,3.7865,3.787,4653400,3.786,33700,3.787,55600
2023/6/1,9:32:31,3.7865,3.787,4656400,3.786,33700,3.787,52800
2023/6/1,9:32:34,3.7855,3.786,4715100,3.785,97500,3.786,6000
2023/6/1,9:32:37,3.7865,3.787,4734600,3.786,40000,3.787,11200
2023/6/1,9:32:40,3.7875,3.788,4795900,3.787,80800,3.788,563700
2023/6/1,9:32:43,3.7875,3.788,4795900,3.787,30000,3.788,563700
2023/6/1,9:32:46,3.7875,3.787,4800800,3.787,25100,3.788,562700
2023/6/1,9:32:49,3.7875,3.788,4990800,3.787,25100,3.788,372700
2023/6/1,9:32:52,3.7875,3.787,4991800,3.787,34200,3.788,372700
2023/6/1,9:32:55,3.7875,3.788,4999800,3.787,37200,3.788,264700
2023/6/1,9:32:58,3.7875,3.788,5004400,3.787,37200,3.788,270100
2023/6/1,9:33:01,3.787,3.786,5244600,3.786,73500,3.788,109900
2023/6/1,9:33:04,3.7875,3.787,5295900,3.787,2000,3.788,22800
2023/6/1,9:33:07,3.7865,3.787,5306900,3.786,74000,3.787,31600
2023/6/1,9:33:10,3.7865,3.787,5320500,3.786,74000,3.787,19600
2023/6/1,9:33:13,3.7865,3.786,5320700,3.786,73800,3.787,51300
2023/6/1,9:33:16,3.7865,3.786,5320700,3.786,73800,3.787,51300
2023/6/1,9:33:19,3.7865,3.787,5321300,3.786,73800,3.787,50700
2023/6/1,9:33:22,3.7865,3.787,5360800,3.786,57800,3.787,107500
2023/6/1,9:33:25,3.7855,3.786,5419100,3.785,81500,3.786,148000
2023/6/1,9:33:28,3.7845,3.786,5764000,3.784,135500,3.785,80100
2023/6/1,9:33:31,3.7855,3.786,6290000,3.785,99400,3.786,127200
2023/6/1,9:33:34,3.784,3.784,6421400,3.783,92300,3.785,121100
2023/6/1,9:33:37,3.7835,3.785,6422200,3.783,92300,3.784,100000
2023/6/1,9:33:40,3.7825,3.782,6521400,3.782,216400,3.783,132300
2023/6/1,9:33:43,3.782,3.783,6797300,3.781,101900,3.783,192900
2023/6/1,9:33:46,3.7825,3.783,6798600,3.782,104500,3.783,191600
2023/6/1,9:33:49,3.7835,3.784,6811100,3.783,1600,3.784,70800
2023/6/1,9:33:52,3.7825,3.783,6902800,3.782,44500,3.783,29900
2023/6/1,9:33:55,3.7815,3.782,6947300,3.781,101900,3.782,5100
2023/6/1,9:33:58,3.7815,3.781,6967800,3.781,81900,3.782,4600
2023/6/1,9:34:01,3.7815,3.782,7014000,3.781,54700,3.782,98800
2023/6/1,9:34:04,3.7815,3.782,7040000,3.781,54700,3.782,87300
2023/6/1,9:34:07,3.7815,3.782,7040000,3.781,55300,3.782,167400
2023/6/1,9:34:10,3.7815,3.782,7041800,3.781,356300,3.782,165600
2023/6/1,9:34:13,3.7815,3.781,7071900,3.781,370400,3.782,135600
2023/6/1,9:34:16,3.7815,3.781,7071900,3.781,420700,3.782,135600
2023/6/1,9:34:19,3.7815,3.781,7152300,3.781,52000,3.782,135500
2023/6/1,9:34:22,3.7805,3.781,7204600,3.78,95700,3.781,39700
2023/6/1,9:34:25,3.7805,3.781,7209700,3.78,99100,3.781,13400
2023/6/1,9:34:28,3.7815,3.782,7235300,3.781,16000,3.782,38200
2023/6/1,9:34:31,3.7805,3.781,7343300,3.78,399600,3.781,30200
2023/6/1,9:34:34,3.782,3.781,7373500,3.781,42500,3.783,100000
2023/6/1,9:34:37,3.782,3.781,7393500,3.781,45200,3.783,100000
2023/6/1,9:34:40,3.782,3.781,7393500,3.781,47700,3.783,100000
2023/6/1,9:34:43,3.782,3.781,7409600,3.781,220600,3.783,100000
2023/6/1,9:34:46,3.7825,3.781,7435800,3.782,10000,3.783,180100
2023/6/1,9:34:49,3.782,3.783,7458100,3.781,192400,3.783,99700
2023/6/1,9:34:52,3.7825,3.783,7458100,3.782,1100,3.783,99700
2023/6/1,9:34:55,3.782,3.783,7466800,3.781,190000,3.783,97500
2023/6/1,9:34:58,3.782,3.781,7498000,3.781,190300,3.783,156400
2023/6/1,9:35:01,3.7835,3.783,7581300,3.783,33100,3.784,20000
2023/6/1,9:35:04,3.7835,3.783,7585300,3.783,29700,3.784,20000
2023/6/1,9:35:07,3.7835,3.783,7594700,3.783,20300,3.784,100100
2023/6/1,9:35:10,3.7835,3.784,7602700,3.783,20300,3.784,12000
2023/6/1,9:35:13,3.7825,3.783,7675200,3.782,87100,3.783,491000
2023/6/1,9:35:16,3.784,3.785,8179200,3.783,82400,3.785,84600
2023/6/1,9:35:19,3.7845,3.785,8179200,3.784,14700,3.785,90200
2023/6/1,9:35:22,3.786,3.785,8242200,3.785,180300,3.787,27200
2023/6/1,9:35:25,3.786,3.785,8242200,3.785,180300,3.787,27200
2023/6/1,9:35:28,3.7875,3.787,8274400,3.787,22900,3.788,33600
2023/6/1,9:35:31,3.7875,3.787,8279300,3.787,29600,3.788,33600
2023/6/1,9:35:34,3.7875,3.788,8284300,3.787,29600,3.788,28600
2023/6/1,9:35:37,3.7865,3.788,8364400,3.785,1066400,3.788,28500
2023/6/1,9:35:40,3.7875,3.788,8364400,3.787,5200,3.788,28500
2023/6/1,9:35:43,3.7875,3.788,8414800,3.787,12200,3.788,53400
2023/6/1,9:35:46,3.7895,3.789,8731300,3.789,638500,3.79,517000
2023/6/1,9:35:49,3.7895,3.789,8731400,3.789,638400,3.79,517000
2023/6/1,9:35:52,3.7895,3.789,8731900,3.789,638000,3.79,597100
2023/6/1,9:35:55,3.791,3.79,9329000,3.79,52900,3.792,304400
2023/6/1,9:35:58,3.7905,3.79,9333000,3.79,48900,3.791,80100
2023/6/1,9:36:01,3.7905,3.79,9333000,3.79,348900,3.791,80100
2023/6/1,9:36:04,3.7905,3.79,9333000,3.79,353900,3.791,80200
2023/6/1,9:36:07,3.7905,3.791,9668100,3.79,24000,3.791,1600
2023/6/1,9:36:10,3.79,3.789,9783200,3.789,557900,3.791,300000
2023/6/1,9:36:13,3.7905,3.79,9876100,3.789,477800,3.792,251700
2023/6/1,9:36:16,3.7885,3.789,10353900,3.788,44900,3.789,422200
2023/6/1,9:36:19,3.7885,3.789,10360900,3.788,5000,3.789,293000
2023/6/1,9:36:22,3.7895,3.79,10654900,3.789,307000,3.79,79100
2023/6/1,9:36:25,3.7895,3.79,10737000,3.789,228100,3.79,78100
2023/6/1,9:36:28,3.7895,3.79,10738300,3.789,228100,3.79,76800
2023/6/1,9:36:31,3.7905,3.789,10741800,3.789,233600,3.792,251700
2023/6/1,9:36:34,3.7905,3.792,11241800,3.789,232400,3.792,380100
2023/6/1,9:36:37,3.7895,3.792,11241800,3.789,252400,3.79,100
2023/6/1,9:36:40,3.7905,3.79,11241900,3.79,29900,3.791,80100
2023/6/1,9:36:43,3.7905,3.791,11244500,3.79,29900,3.791,77500
2023/6/1,9:36:46,3.791,3.791,11244500,3.79,830000,3.792,85900
2023/6/1,9:36:49,3.7915,3.79,11331500,3.79,833500,3.793,390500
2023/6/1,9:36:52,3.7915,3.792,11332100,3.791,16500,3.792,84500
